CustomerInfo	StockCode	BuySell	TradeCount	TradeSize	Consideration	AvgPx
00000002523TSG1	G13_RY	S	1	170000	219300.0	1.29
00000002524TSG1	G13_RY	B	1	170000	219300.0	1.29
00000002540TSG1	40F_RY	S	1	30000	21000.0	0.7
00000002541TSG1	40F_RY	B	1	30000	21000.0	0.7
00003471191OSG1	G13_RY	B	1	14000	18200.0	1.3
00003471192OSG1	G13_RY	B	1	16000	20800.0	1.3
00003471193OSG1	G13_RY	B	1	18000	23400.0	1.3
00003471194OSG1	G13_RY	B	1	18000	23400.0	1.3
00003471195OSG1	G13_RY	B	1	1000	1310.0	1.31
00003471196OSG1	A31_RY	B	1	2000	140.0	0.07
00003471197OSG1	A31_RY	S	2	2000	160.0	0.08
00003471199OSG1	A31_RY	B	5	5000	350.0	0.07
00003471200OSG1	G13_RY	B	1	100	130.0	1.3
00003471201OSG1	G13_RY	B	1	200	260.0	1.3
00003471202OSG1	G13_RY	B	1	300	390.0	1.3
00003471203OSG1	G13_RY	B	1	400	520.0	1.3
00003471204OSG1	G13_RY	B	1	100	130.0	1.3
00003471205OSG1	G13_RY	B	1	700	910.0	1.3
00003471206OSG1	G13_RY	B	1	900	1170.0	1.3
00003471207OSG1	G13_RY	B	1	1100	1430.0	1.3
00003471208OSG1	G13_RY	B	1	1200	1560.0	1.3
00003471209OSG1	G13_RY	B	1	300	390.0	1.3
00003471210OSG1	G13_RY	B	1	400	520.0	1.3
00003471211OSG1	G13_RY	B	1	500	650.0	1.3
00003471212OSG1	G13_RY	B	1	800	1040.0	1.3
00003471213OSG1	G13_RY	B	1	900	1170.0	1.3
00003471214OSG1	G13_RY	B	1	1200	1560.0	1.3
00003471215OSG1	G13_RY	B	1	3200	4160.0	1.3
00003471216OSG1	G13_RY	B	1	100	130.0	1.3
00003471217OSG1	G13_RY	B	1	1300	1690.0	1.3
00003471219OSG1	G13_US	B	2	7	7.0	1.0
00003471221OSG1	G13_US	S	1	2	2.0	1.0
00003471222OSG1	G13_US	S	1	5	5.0	1.0
00003471223OSG1	G13_RY	B	1	300	390.0	1.3
00003471224OSG1	G13_RY	B	1	400	520.0	1.3
00003471227OSG1	G13_RY	B	1	300	387.0	1.29
00003471228OSG1	G13_RY	B	1	700	903.0	1.29
00003471229OSG1	G13_RY	B	1	700	903.0	1.29
00003471230OSG1	G13_RY	B	1	1100	1419.0	1.29
00003471231OSG1	G13_RY	B	1	1200	1548.0	1.29
00003471232OSG1	G13_RY	B	1	2100	2709.0	1.29
00003471233OSG1	G13_RY	B	1	100	129.0	1.29
00003471234OSG1	G13_RY	B	1	300	387.0	1.29
00003471235OSG1	G13_RY	B	1	200	258.0	1.29
00003471236OSG1	G13_RY	B	1	400	516.0	1.29
00003471237OSG1	G13_RY	B	1	500	645.0	1.29
00003471238OSG1	G13_RY	B	1	900	1161.0	1.29
00003471239OSG1	G13_RY	B	1	1000	1290.0	1.29
00003471240OSG1	G13_RY	S	38	90900	118085.0	1.299064906490649
00003471242OSG1	40F_US	B	1	10	7.0	0.7
00003471243OSG1	40F_US	S	1	10	7.0	0.7
00003471249OSG1	A31_RY	S	1	1000	70.0	0.07
00003471250OSG1	A31_RY	S	1	1000	70.0	0.07
00003471251OSG1	A31_RY	S	1	1000	70.0	0.07
00003471252OSG1	A31_RY	S	1	1000	70.0	0.07
00003471253OSG1	A31_RY	S	2	3000	210.0	0.07
00003471254OSG1	A31_RY	B	1	1000	80.0	0.08
00003471256OSG1	A31_RY	B	1	1000	80.0	0.08
00003471257OSG1	B2F_RY	S	1	1000	1690.0	1.69
00003471258OSG1	B2F_RY	S	1	1000	1690.0	1.69
00003471261OSG1	B2F_RY	B	1	1000	1690.0	1.69
00003471263OSG1	NS8U_RY	S	2	1000	330.0	0.33
00003471264OSG1	NS8U_RY	B	1	100	33.0	0.33
00003471265OSG1	NS8U_RY	S	1	100	33.0	0.33
00003471266OSG1	5ME_RY	B	1	100	10.2	0.102
00003471267OSG1	5ME_RY	S	2	1000	102.0	0.102
00003471268OSG1	5ME_RY	B	1	900	91.8	0.102
00003471270OSG1	B2F_RY	B	1	1000	1690.0	1.69
