CustomerInfo,StockCode,BuySell,TradeCount,TradeSize,Consideration,AvgPx
00003471647OSG1,Z74_RY,B,4,400,3596.0,8.99
00003471654OSG1,Z74_RY,S,1,100,899.0,8.99
00003471655OSG1,Z74_RY,S,1,100,899.0,8.99
00003471656OSG1,Z74_RY,S,1,100,899.0,8.99
00003471657OSG1,Z74_RY,S,1,100,899.0,8.99
00003471658OSG1,A50_RY,B,1,1000,122.0,0.122
00003471659OSG1,A50_RY,S,1,1000,122.0,0.122
00003471660OSG1,G13_RY,S,1,100,131.0,1.31
00003471661OSG1,G13_RY,S,1,100,130.0,1.3
00003471662OSG1,G13_RY,S,1,100,130.0,1.3
00003471663OSG1,G13_RY,S,1,100,130.0,1.3
00003471664OSG1,G13_RY,S,1,100,130.0,1.3
