Date,MatchTime,OrderID,Participant,CounterParty,API,AccountID,TraderID,ContractID,TradePrice,TradeSize,BuySell,StockCode,StockName,Market,Currency,Product,OrderValidity,OrderQty,BalanceQty,MarriedTrade,CustomerInfo
2018-06-26,08:58:31,6145590100010C88,252,252,72252B,0002001,108,11,0.27,100,B,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,100,0,N,00003471497OSG1
2018-06-26,08:58:31,6145590100010C89,252,252,72252B,0002001,108,11,0.27,100,S,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,100,0,N,00003471498OSG1
2018-06-26,09:00:58,6145590100010C92,252,252,72252B,0002001,108,12,0.3,100,B,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,100,0,N,00003471500OSG1
2018-06-26,09:00:58,6145590100010C93,252,252,72252B,0002001,108,12,0.3,100,S,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,100,0,N,00003471501OSG1
2018-06-26,09:08:23,6143F10100010DD4,252,252,72252B,0003017,CCC,13,0.7,200,S,40F_RY,$ Alliance Mineral,READY,SGD,Cash,GTD,4000,3400,N,00003471491OSG1
2018-06-26,09:08:23,6145590100010CA8,252,252,72252B,0002001,108,13,0.7,200,B,40F_RY,$ Alliance Mineral,READY,SGD,Cash,DAY,200,0,N,00003471503OSG1
2018-06-26,09:11:07,6143F10100010DCE,252,252,72252B,0003017,CCC,14,0.65,500,B,40F_RY,$ Alliance Mineral,READY,SGD,Cash,GTM,5000,4500,N,00003471490OSG1
2018-06-26,09:11:07,6145590100010CB1,252,252,72252B,0002001,108,14,0.65,500,S,40F_RY,$ Alliance Mineral,READY,SGD,Cash,DAY,500,0,N,00003471505OSG1
2018-06-26,09:19:35,6145590100010CB8,252,252,72252B,0002001,108,16,1.23,100,S,G13_RY,Genting Sing,READY,SGD,Cash,DAY,200,100,N,00003471510OSG1
2018-06-26,09:19:35,6145590100010CB9,252,252,72252B,0002001,108,16,1.23,100,B,G13_RY,Genting Sing,READY,SGD,Cash,DAY,100,0,N,00003471511OSG1
2018-06-26,09:21:18,6145590100010CBA,252,252,72252B,0002411,108,3000001,0.3,60000,S,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,60000,0,Y,00000002594TSG1
2018-06-26,09:21:18,6145590100010CBB,252,252,72252B,0002001,108,3000001,0.3,60000,B,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,60000,0,Y,00000002595TSG1
2018-06-26,09:22:01,6145590100010CBC,252,252,72252B,0002411,108,3000002,0.27,70000,S,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,70000,0,Y,00000002601TSG1
2018-06-26,09:22:01,6145590100010CBD,252,252,72252B,0002001,108,3000002,0.27,70000,B,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,70000,0,Y,00000002602TSG1
2018-06-26,09:31:17,6145590100010CB3,252,252,72252B,0002027,CCC,17,0.29,100,B,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,5000,4900,N,00003471506OSG1
2018-06-26,09:31:17,6145590100010CC7,252,252,72252B,0002411,108,17,0.29,100,S,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,100,0,N,00003471518OSG1
2018-06-26,09:31:40,6145590100010CB3,252,252,72252B,0002027,CCC,18,0.29,200,B,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,5000,4700,N,00003471506OSG1
2018-06-26,09:31:40,6145590100010CC8,252,252,72252B,0002411,108,18,0.29,200,S,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,200,0,N,00003471519OSG1
2018-06-26,09:31:51,6145590100010CB3,252,252,72252B,0002027,CCC,19,0.29,100,B,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,5000,4600,N,00003471506OSG1
2018-06-26,09:31:51,6145590100010CC9,252,252,72252B,0002411,108,19,0.29,100,S,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,100,0,N,00003471520OSG1
2018-06-26,09:31:57,6145590100010CB3,252,252,72252B,0002027,CCC,20,0.29,300,B,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,5000,4300,N,00003471506OSG1
2018-06-26,09:31:57,6145590100010CCA,252,252,72252B,0002411,108,20,0.29,300,S,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,300,0,N,00003471521OSG1
2018-06-26,09:32:02,6145590100010CB3,252,252,72252B,0002027,CCC,21,0.29,300,B,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,5000,4000,N,00003471506OSG1
2018-06-26,09:32:02,6145590100010CCB,252,252,72252B,0002411,108,21,0.29,300,S,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,300,0,N,00003471522OSG1
2018-06-26,09:32:10,6145590100010CB3,252,252,72252B,0002027,CCC,22,0.29,100,B,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,5000,3900,N,00003471506OSG1
2018-06-26,09:32:10,6145590100010CCC,252,252,72252B,0002411,108,22,0.29,100,S,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,100,0,N,00003471523OSG1
2018-06-26,09:32:19,6145590100010CB3,252,252,72252B,0002027,CCC,23,0.29,500,B,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,5000,3400,N,00003471506OSG1
2018-06-26,09:32:19,6145590100010CCD,252,252,72252B,0002411,108,23,0.29,500,S,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,500,0,N,00003471524OSG1
2018-06-26,09:32:25,6145590100010CB3,252,252,72252B,0002027,CCC,24,0.29,400,B,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,5000,3000,N,00003471506OSG1
2018-06-26,09:32:25,6145590100010CCE,252,252,72252B,0002411,108,24,0.29,400,S,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,400,0,N,00003471525OSG1
2018-06-26,09:32:34,6145590100010CB3,252,252,72252B,0002027,CCC,25,0.29,200,B,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,5000,2800,N,00003471506OSG1
2018-06-26,09:32:34,6145590100010CCF,252,252,72252B,0002411,108,25,0.29,200,S,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,200,0,N,00003471526OSG1
2018-06-26,09:32:43,6145590100010CB3,252,252,72252B,0002027,CCC,26,0.29,700,B,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,5000,2100,N,00003471506OSG1
2018-06-26,09:32:43,6145590100010CD0,252,252,72252B,0002411,108,26,0.29,700,S,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,700,0,N,00003471527OSG1
2018-06-26,09:32:59,6145590100010CB0,252,252,72252B,0002027,CCC,27,0.26,100,B,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,5000,4900,N,00003471504OSG1
2018-06-26,09:32:59,6145590100010CD1,252,252,72252B,0002411,108,27,0.26,100,S,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,100,0,N,00003471528OSG1
2018-06-26,09:33:04,6145590100010CB0,252,252,72252B,0002027,CCC,28,0.26,200,B,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,5000,4700,N,00003471504OSG1
2018-06-26,09:33:04,6145590100010CD2,252,252,72252B,0002411,108,28,0.26,200,S,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,200,0,N,00003471529OSG1
2018-06-26,09:33:08,6145590100010CB0,252,252,72252B,0002027,CCC,29,0.26,300,B,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,5000,4400,N,00003471504OSG1
2018-06-26,09:33:08,6145590100010CD3,252,252,72252B,0002411,108,29,0.26,300,S,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,300,0,N,00003471530OSG1
2018-06-26,09:33:19,6145590100010CB0,252,252,72252B,0002027,CCC,30,0.26,400,B,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,5000,4000,N,00003471504OSG1
2018-06-26,09:33:19,6145590100010CD5,252,252,72252B,0002411,108,30,0.26,400,S,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,400,0,N,00003471531OSG1
2018-06-26,09:33:24,6145590100010CB0,252,252,72252B,0002027,CCC,31,0.26,100,B,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,5000,3900,N,00003471504OSG1
2018-06-26,09:33:24,6145590100010CD6,252,252,72252B,0002411,108,31,0.26,100,S,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,100,0,N,00003471532OSG1
2018-06-26,09:33:28,6145590100010CB0,252,252,72252B,0002027,CCC,32,0.26,200,B,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,5000,3700,N,00003471504OSG1
2018-06-26,09:33:28,6145590100010CD7,252,252,72252B,0002411,108,32,0.26,200,S,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,200,0,N,00003471533OSG1
2018-06-26,09:33:33,6145590100010CB0,252,252,72252B,0002027,CCC,33,0.26,300,B,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,5000,3400,N,00003471504OSG1
2018-06-26,09:33:33,6145590100010CD8,252,252,72252B,0002411,108,33,0.26,300,S,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,300,0,N,00003471534OSG1
2018-06-26,09:33:37,6145590100010CB0,252,252,72252B,0002027,CCC,34,0.26,300,B,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,5000,3100,N,00003471504OSG1
2018-06-26,09:33:37,6145590100010CD9,252,252,72252B,0002411,108,34,0.26,300,S,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,300,0,N,00003471535OSG1
2018-06-26,09:33:43,6145590100010CB0,252,252,72252B,0002027,CCC,35,0.26,1100,B,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,5000,2000,N,00003471504OSG1
