CustomerInfo,StockCode,BuySell,TradePrice,TradeSize
00000002594TSG1,E5H_RY,S,0.3,60000
00000002595TSG1,E5H_RY,B,0.3,60000
00000002601TSG1,NS8U_RY,S,0.27,70000
00000002602TSG1,NS8U_RY,B,0.27,70000
00000002614TSG1,40F_RY,S,0.7,50000
00000002615TSG1,40F_RY,B,0.7,50000
00000002645TSG1,NS8U_RY,B,0.27,54000
00000002646TSG1,NS8U_RY,S,0.27,54000
00003471490OSG1,40F_RY,B,0.65,500
00003471491OSG1,40F_RY,S,1.4,1200
00003471497OSG1,NS8U_RY,B,0.27,100
00003471498OSG1,NS8U_RY,S,0.27,100
00003471500OSG1,E5H_RY,B,0.3,100
00003471501OSG1,E5H_RY,S,0.3,100
00003471503OSG1,40F_RY,B,0.7,200
00003471504OSG1,NS8U_RY,B,2.5999999999999996,3300
00003471505OSG1,40F_RY,S,0.65,500
00003471506OSG1,E5H_RY,B,3.19,4100
00003471510OSG1,G13_RY,S,1.23,100
00003471511OSG1,G13_RY,B,1.23,100
00003471516OSG1,40F_RY,S,0.69,2000
00003471518OSG1,E5H_RY,S,0.29,100
00003471519OSG1,E5H_RY,S,0.29,200
00003471520OSG1,E5H_RY,S,0.29,100
00003471521OSG1,E5H_RY,S,0.29,300
00003471522OSG1,E5H_RY,S,0.29,300
00003471523OSG1,E5H_RY,S,0.29,100
00003471524OSG1,E5H_RY,S,0.29,500
00003471525OSG1,E5H_RY,S,0.29,400
00003471526OSG1,E5H_RY,S,0.29,200
00003471527OSG1,E5H_RY,S,0.29,700
00003471528OSG1,NS8U_RY,S,0.26,100
00003471529OSG1,NS8U_RY,S,0.26,200
00003471530OSG1,NS8U_RY,S,0.26,300
00003471531OSG1,NS8U_RY,S,0.26,400
00003471532OSG1,NS8U_RY,S,0.26,100
00003471533OSG1,NS8U_RY,S,0.26,200
00003471534OSG1,NS8U_RY,S,0.26,300
00003471535OSG1,NS8U_RY,S,0.26,300
00003471536OSG1,NS8U_RY,S,0.26,1100
00003471537OSG1,NS8U_RY,S,0.26,300
00003471538OSG1,E5H_RY,S,0.29,1200
00003471539OSG1,E5H_RY,B,2.36,4100
00003471596OSG1,E5H_RY,B,0.32,500
00003471597OSG1,E5H_RY,S,0.32,500
00003471600OSG1,E5H_RY,S,0.8999999999999999,1200
00003471610OSG1,E5H_US,S,0.3,21
00003471611OSG1,E5H_US,B,0.3,21
00003471612OSG1,NS8U_RY,S,2.7,5100
00003471614OSG1,NS8U_US,S,0.27,44
00003471615OSG1,NS8U_US,B,0.27,44
00003471617OSG1,40F_US,B,0.7,55
00003471618OSG1,E5H_RY,S,0.295,300
00003471619OSG1,E5H_RY,S,0.295,400
00003471620OSG1,E5H_RY,S,0.295,200
00003471621OSG1,E5H_RY,S,0.295,100
00003471622OSG1,E5H_RY,S,0.295,500
00003471623OSG1,E5H_RY,S,0.295,400
00003471624OSG1,E5H_RY,S,0.295,2100
00003471625OSG1,E5H_RY,S,0.295,100
00003471626OSG1,40F_US,S,0.7,55
00003471627OSG1,NS8U_RY,B,0.27,100
00003471628OSG1,NS8U_RY,B,0.27,200
00003471629OSG1,NS8U_RY,B,0.27,300
00003471630OSG1,NS8U_RY,B,0.27,400
00003471631OSG1,NS8U_RY,B,0.27,100
00003471632OSG1,NS8U_RY,B,0.27,300
00003471633OSG1,NS8U_RY,B,0.27,2300
00003471634OSG1,NS8U_RY,B,0.27,200
00003471635OSG1,NS8U_RY,B,0.27,500
00003471636OSG1,NS8U_RY,B,0.27,700
00003471639OSG1,40F_RY,B,1.39,3000
