CustomerInfo,StockCode,BuySell,TradeCount,TradeSize,Consideration,AvgPx
00003697890OSG1,G13_RY,B,3,150000,177000.0,1.18
00003697891OSG1,G13_RY,B,4,150000,177000.0,1.18
00003716886OSG1,ME8U_RY,S,133,57300,112308.0,1.96
00003722027OSG1,ME8U_RY,S,1,6100,11895.0,1.95
00003722878OSG1,ME8U_RY,S,1,7400,14430.0,1.95
00003754901OSG1,S08_RY,S,14,150000,192000.0,1.28
00003757369OSG1,C31_RY,B,5,34200,106704.0,3.12
00003759075OSG1,ME8U_RY,S,53,150000,291000.0,1.94
00003759953OSG1,ME8U_RY,S,1,150000,291000.0,1.94
00003760033OSG1,Y92_RY,B,20,500000,337500.0,0.675
00003760036OSG1,Y92_RY,B,9,100000,67500.0,0.675
00003760251OSG1,ME8U_RY,S,25,160400,309572.0,1.93
00003760268OSG1,C61U_RY,S,7,97000,161990.0,1.67
00003762400OSG1,Z74_RY,S,40,136400,420112.0,3.08
00003762403OSG1,Z74_RY,S,53,154000,474320.0,3.08
00003764427OSG1,Z74_RY,S,68,217600,668032.0,3.07
00003764443OSG1,Z74_RY,S,75,217600,670208.0,3.08
00003764461OSG1,Z74_RY,S,7,225000,690750.0,3.07
00003765586OSG1,C31_RY,B,11,32300,100776.0,3.12
00003765782OSG1,D5IU_RY,B,14,125000,39375.0,0.315
00003765846OSG1,C31_RY,B,76,63100,197503.0,3.13
00003766675OSG1,Z74_RY,S,9,54900,167994.0,3.06
00003766717OSG1,G13_RY,B,1,150000,178500.0,1.19
00003766720OSG1,G13_RY,B,1,150000,180000.0,1.2
00003767119OSG1,Z74_RY,S,3,17100,52155.0,3.05
00003767927OSG1,C61U_RY,B,2,3800,6232.0,1.64
00003768870OSG1,Z74_RY,S,13,46300,140752.0,3.04
00003769005OSG1,A17U_RY,B,18,26100,68643.0,2.63
00003769069OSG1,C61U_RY,B,4,26200,43230.0,1.65
00003769250OSG1,C31_RY,B,30,50000,156500.0,3.13
00003769330OSG1,T39_RY,B,24,27400,70966.0,2.59
00003769332OSG1,T39_RY,B,7,19200,49728.0,2.59
00003769488OSG1,Z25_RY,S,2,5000,7800.0,1.56
00003769586OSG1,T39_RY,B,14,11900,30940.0,2.6
00003769921OSG1,T39_RY,B,4,100000,260000.0,2.6
00003770285OSG1,Z74_RY,S,16,130300,394809.0,3.03
00003770301OSG1,T39_RY,S,11,4200,10962.0,2.61
00003770329OSG1,J36_RY,B,1,100,6345.0,63.45
00003770330OSG1,M04_RY,S,3,1000,2299.9999999999995,2.2999999999999994
00003770332OSG1,Z74_RY,B,6,36600,110532.0,3.02
00003770339OSG1,C61U_RY,S,1,26200,43230.0,1.65
00003770340OSG1,C61U_RY,S,2,125000,207500.0,1.66
00003770341OSG1,C31_RY,S,16,150000,472500.0,3.15
00003770342OSG1,C31_RY,S,12,47100,148836.0,3.16
00003770346OSG1,A17U_RY,S,9,74700,197208.0,2.64
00003770347OSG1,A17U_RY,S,2,150000,397500.0,2.65
00003770348OSG1,A17U_RY,S,1,150000,397500.0,2.65
00003770349OSG1,A17U_RY,S,1,150000,397500.0,2.65
00003770353OSG1,A17U_RY,B,7,74100,195624.0,2.64
00003770364OSG1,M04_RY,S,1,500,1190.0,2.38
00003770365OSG1,Z74_RY,B,7,130700,396021.0,3.03
00003770366OSG1,Z74_RY,B,1,450000,1363500.0,3.03
00003770367OSG1,M04_RY,S,3,500,1195.0,2.39
00003770369OSG1,D5IU_RY,S,3,125000,39375.0,0.315
00003770376OSG1,Z74_RY,S,103,440300,1334109.0,3.03
00003770378OSG1,C31_RY,B,79,150000,472500.0,3.15
00003770379OSG1,A17U_RY,S,1,200000,528000.0,2.64
00003770380OSG1,Z25_RY,B,1,5000,7800.0,1.56
