EnteredTimestamp,EventTimestamp,EnteredBy,CounterpartyViewCode,ExchangeAccountCode,InstrumentViewCode,BuySell,BuySellQualifier,OrderValue,OrderPrice,OrderStatus,VolumeDone,AveragePrice,VolumeLeft,MarketId,OrderNotes,RouteId,ExchangeOrderId,OrderFlags,ErrorText,CompletionReason,ExpiryTimestamp,ExpiryType,OrderId,OrderVersion,ParentOrderId,Currency,StartOfDayQty,GrossPriceToday,VolumeDoneToday,TradeAmountToday
20180625 17:19:39.522615 +0800 ,20180626 07:01:07.328583 +0800 ,DMA,HORIZON,2886,AMS.SP,B, ,2000.0,0.68,C,0.0,0.0,0.0,SES-MAIN,HORIZON|EX:UAT,DIRECT,6143F10100010DDD,AGA ,Order not found detected. Order completed.,E,20180625 20:00:00.000000 +0800 ,GFD,00003471493DOSG1,1,TK1PKSGOrder8569,SGD,2000.0,,0,0
20180626 08:54:52.725455 +0800 ,20180626 08:56:37.753632 +0800 ,chweepeng,DSL-SGP,2001,GGR.SP,S, ,100.0,0.3,C,0.0,0.0,0.0,SES-MAIN,test order,DIRECT,6145590100010C87,AGA FOR ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471496DOSG1,1,00010117671ORHK1,SGD,100.0,,0,0
20180626 08:54:45.616933 +0800 ,20180626 08:56:37.754585 +0800 ,chweepeng,DSL-SGP,2001,GGR.SP,B, ,100.0,0.3,C,0.0,0.0,0.0,SES-MAIN,test order,DIRECT,6145590100010C86,FOR ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471495DOSG1,1,00010117670ORHK1,SGD,100.0,,0,0
20180626 08:56:22.182032 +0800 ,20180626 08:58:31.613341 +0800 ,chweepeng,DSL-SGP,2001,HPHT.SP,B, ,100.0,0.27,C,100.0,0.27,0.0,SES-MAIN,test order,DIRECT,6145590100010C88,FOR ,SUCCESS,M,20180626 20:00:00.000000 +0800 ,GFD,00003471497DOSG1,1,00010117674ORHK1,USD,100.0,0.2700,100.0,27.0
20180626 08:56:29.726334 +0800 ,20180626 08:58:31.637226 +0800 ,chweepeng,DSL-SGP,2001,HPHT.SP,S, ,100.0,0.27,C,100.0,0.27,0.0,SES-MAIN,test order,DIRECT,6145590100010C89,AGA FOR ,SUCCESS,M,20180626 20:00:00.000000 +0800 ,GFD,00003471498DOSG1,1,00010117675ORHK1,USD,100.0,0.2700,100.0,27.0
20180626 09:00:05.777258 +0800 ,20180626 09:00:18.556008 +0800 ,chweepeng,DSL-SGP,2001,GGR.SP,S, ,100.0,0.3,C,0.0,0.0,0.0,SES-MAIN,test order,DIRECT,6145590100010C90,AGA FOR ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471499DOSG1,1,00010117676ORHK1,SGD,100.0,,0,0
20180626 09:00:50.662363 +0800 ,20180626 09:00:58.814594 +0800 ,chweepeng,DSL-SGP,2001,GGR.SP,B, ,100.0,0.3,C,100.0,0.3,0.0,SES-MAIN,test order,DIRECT,6145590100010C92,FOR ,SUCCESS,M,20180626 20:00:00.000000 +0800 ,GFD,00003471500DOSG1,1,00010117677ORHK1,SGD,100.0,0.3000,100.0,30.0
20180626 09:00:58.773033 +0800 ,20180626 09:00:58.815968 +0800 ,chweepeng,DSL-SGP,2001,GGR.SP,S, ,100.0,0.3,C,100.0,0.3,0.0,SES-MAIN,test order,DIRECT,6145590100010C93,AGA FOR ,SUCCESS,M,20180626 20:00:00.000000 +0800 ,GFD,00003471501DOSG1,1,00010117678ORHK1,SGD,100.0,0.3000,100.0,30.0
20180626 09:07:10.570128 +0800 ,20180626 09:07:10.590609 +0800 ,chweepeng,NEW_SILK_ROAD,2801,SGX.SP,B, ,200.0,8.5,C,0.0,0.0,0.0,SES-MAIN,,DIRECT,,,The premium is outside the allowed price limits for this instrument.,F,20180626 20:00:00.000000 +0800 ,GFD,00003471502DOSG1,1,00010117681ORHK1,SGD,200.0,,0,0
20180626 09:08:23.311412 +0800 ,20180626 09:08:23.448440 +0800 ,chweepeng,DSL-SGP,2001,AMS.SP,B, ,200.0,0.7,C,200.0,0.7,0.0,SES-MAIN,EX:UAT,DIRECT,6145590100010CA8,AGA ,SUCCESS,M,20180626 20:00:00.000000 +0800 ,GFD,00003471503DOSG1,1,00010117683ORHK1,SGD,200.0,0.7000,200.0,140.0
