20161003-00017-00001 	 20161003-00017-00001 	 20161003-00017-00001 	  	 RB/ 	 buy 	 PT-MER 	 7150.0 	 21000 	 0 	 0 	 2016/10/03 06:23:33.000 	 2016/10/03 06:23:33.000
20161003-00028-00001 	 20161003-00028-00001 	 20161003-00028-00003 	 20161003-00028-00001 	 Z74 	 buy 	 PT-ALLI 	 4.02 	 2000 	 0 	 0.0 	 2016/10/03 08:07:57.000 	 2016/10/03 08:12:20.000
20161003-00033-00001 	 20161003-00033-00001 	 20161003-00033-00001 	  	 BBCA 	 buy 	 PT-ALLI 	 15975.0 	 2000 	 0 	 0 	 2016/10/03 08:28:45.000 	 2016/10/03 08:28:45.000
20161003-00036-00001 	 20161003-00036-00001 	 20161003-00036-00001 	  	 2838 	 buy 	 PT-ALLI 	 8.7 	 2000 	 0 	 0 	 2016/10/03 08:42:51.000 	 2016/10/03 08:42:51.000
20161003-00007-00001 	 20161003-00007-00001 	 20161003-00007-00001 	  	 883 	 buy 	 PT-UBS 	 9.76 	 20000 	 0 	 0 	 2016/10/03 03:39:31.000 	 2016/10/03 03:39:31.000
20161003-00030-00001 	 20161003-00030-00001 	 20161003-00030-00001 	  	 CIMBT 	 buy 	 PT-ALLI 	 1.06 	 2000 	 0 	 0 	 2016/10/03 08:20:57.000 	 2016/10/03 08:20:57.000
20161003-00043-00001 	 20161003-00043-00001 	 20161003-00043-00001 	  	 TATASTEEL 	 buy 	 PT-ALLI 	 381.65 	 2000 	 0 	 0 	 2016/10/03 09:01:27.000 	 2016/10/03 09:01:27.000
20161003-00008-00001 	 20161003-00008-00001 	 20161003-00008-00001 	  	 883 	 buy 	 PT-UBS 	 9.76 	 20000 	 0 	 0 	 2016/10/03 03:41:18.000 	 2016/10/03 03:41:18.000
20161003-00032-00001 	 20161003-00032-00001 	 20161003-00032-00001 	  	 BBCA 	 buy 	 PT-ALLI 	 15975.0 	 2000 	 0 	 0 	 2016/10/03 08:28:08.000 	 2016/10/03 08:28:08.000
20161003-00038-00001 	 20161003-00038-00001 	 20161003-00038-00003 	 20161003-00038-00001 	 2838 	 buy 	 PT-ALLI 	 8.7 	 2000 	 0 	 0.0 	 2016/10/03 08:44:59.000 	 2016/10/03 08:47:46.000
20161003-00021-00001 	 20161003-00021-00001 	 20161003-00021-00001 	  	 883 	 buy 	  	 9.7 	 999 	 0 	 0 	 2016/10/03 07:53:50.000 	 2016/10/03 07:53:50.000
20161003-00023-00001 	 20161003-00023-00001 	 20161003-00023-00001 	  	 883 	 buy 	  	 9.7 	 2000 	 0 	 0 	 2016/10/03 08:03:09.000 	 2016/10/03 08:03:09.000
20161003-00004-00001 	 20161003-00004-00001 	 20161003-00004-00011 	 20161003-00004-00008 	 883 	 buy 	 PT-UBS 	 9.76 	 20000 	 10000 	 9.75 	 2016/10/03 03:04:44.000 	 2016/10/03 03:20:17.000
20161003-00003-00001 	 20161003-00003-00001 	 20161003-00003-00007 	 20161003-00003-00004 	 883 	 buy 	 PT-UBS 	 9.76 	 20000 	 1000 	 9.76 	 2016/10/03 02:55:57.000 	 2016/10/03 03:01:59.000
20161003-00016-00001 	 20161003-00016-00001 	 20161003-00016-00001 	  	 CIMBT 	 buy 	 PT-ALLI 	 1.05 	 1000 	 0 	 0 	 2016/10/03 06:15:54.000 	 2016/10/03 06:15:54.000
20161003-00034-00001 	 20161003-00034-00001 	 20161003-00034-00003 	 20161003-00034-00001 	 BBCA 	 buy 	 PT-ALLI 	 15975.0 	 2000 	 0 	 0.0 	 2016/10/03 08:37:56.000 	 2016/10/03 08:39:22.000
20161003-00010-00001 	 20161003-00010-00001 	 20161003-00010-00001 	  	 883 	 buy 	 PT-UBS 	 9.76 	 20000 	 18000 	 9.76 	 2016/10/03 03:54:54.000 	 2016/10/03 07:58:53.000
20161003-00015-00001 	 20161003-00015-00001 	 20161003-00015-00001 	  	 CIMBT 	 buy 	 PT-ALLI 	 1.05 	 1000 	 0 	 0 	 2016/10/03 06:15:26.000 	 2016/10/03 06:15:26.000
20161003-00026-00001 	 20161003-00026-00001 	 20161003-00026-00001 	  	 Z74 	 buy 	 PT-MER 	 4.02 	 2000 	 0 	 0 	 2016/10/03 08:06:20.000 	 2016/10/03 08:06:20.000
20161003-00005-00001 	 20161003-00005-00001 	 20161003-00005-00009 	 20161003-00005-00006 	 883 	 buy 	 PT-UBS 	 9.76 	 20000 	 0 	 0.0 	 2016/10/03 03:31:07.000 	 2016/10/03 03:35:29.000
20161003-00044-00001 	 20161003-00044-00001 	 20161003-00044-00001 	  	 6758 	 buy 	 PT-ALLI 	 3335.0 	 2000 	 0 	 0 	 2016/10/03 09:03:55.000 	 2016/10/03 09:03:55.000
20161003-00045-00001 	 20161003-00045-00001 	 20161003-00045-00001 	  	 6758 	 buy 	 PT-ALLI 	 3335.0 	 2000 	 0 	 0 	 2016/10/03 09:05:03.000 	 2016/10/03 09:05:03.000
20161003-00035-00001 	 20161003-00035-00001 	 20161003-00035-00006 	 20161003-00035-00003 	 2838 	 buy 	 PT-ALLI 	 8.7 	 2000 	 0 	 0.0 	 2016/10/03 08:40:52.000 	 2016/10/03 08:41:45.000
20161003-00027-00001 	 20161003-00027-00001 	 20161003-00027-00003 	 20161003-00027-00001 	 Z74 	 buy 	 PT-ALLI 	 4.02 	 2000 	 0 	 0.0 	 2016/10/03 08:07:09.000 	 2016/10/03 08:12:15.343
20161003-00039-00001 	 20161003-00039-00001 	 20161003-00039-00001 	  	 UBP 	 buy 	 PT-ALLI 	 73.95 	 2000 	 0 	 0 	 2016/10/03 08:49:08.000 	 2016/10/03 08:49:08.000
