key | NewOrdId | OrdId | OrigOrdId | Symbol | Side | ClientId | LmtPrc | Qty | VolDone | AvgPrc | DayVolDone | DayAvgPrc | NewTimeStamp | UpdateTimeStamp | LastFillTimeStamp | Currency | Sedol | Isin | SecurityName | Exchange | Text | Account
20161014-00013-00001 | 20161014-00013-00001 | 20161014-00013-00001 |  | AAPL | buy | PT-BNP |  | 100000 | 0 | 0 | 0 | 0 | 2016/10/14 05:25:26.000 | 2016/10/14 05:25:26.000 | 0 | USD |  | US0378331005 |  | XNYS | jlo003 | 
20161014-00051-00001 | 20161014-00051-00001 | 20161014-00051-00001 |  | HSBA | buy | PT-JPM | 37.54 | 20000 | 0 | 0.0 | 0 | 0 | 2016/10/14 08:13:25.000 | 2016/10/14 08:13:26.112 | 0 | GBP | 0540528 |  |  | LN | EX:UAT  jlo | 
20161014-00050-00001 | 20161014-00050-00001 | 20161014-00050-00001 |  | RB/ | buy | PT-JPM | 37.54 | 20000 | 0 | 0.0 | 0 | 0 | 2016/10/14 08:12:43.000 | 2016/10/14 08:12:44.123 | 0 | GBP | B24CGK7 |  |  | LN | EX:UAT jlo | 
20161014-00026-00001 | 20161014-00026-00001 | 20161014-00026-00001 |  | 5 | buy | PT-JPM | 59.0 | 60000 | 0 | 0 | 0 | 0 | 2016/10/14 06:30:28.000 | 2016/10/14 06:30:28.000 | 0 | HKD | 6158163 | GB0005405286 | HSBC HOLDINGS PLC | XHKG | EX:UAT | 
20161014-00036-00001 | 20161014-00036-00001 | 20161014-00036-00001 |  | AKRA | buy | PT-ALLI | 6375.0 | 1000 | 0 | 0 | 0 | 0 | 2016/10/14 07:11:57.000 | 2016/10/14 07:11:57.000 | 0 | IDR | 6048156 | ID1000106701 | AKR CORPORINDO TBK PT | XIDX | ACT AUTO | 
20161014-00010-00001 | 20161014-00010-00001 | 20161014-00010-00001 |  | 5 | buy | ALGO3KA | 60.0 | 60000 | 0 | 0 | 0 | 0 | 2016/10/14 04:09:26.000 | 2016/10/14 04:09:26.000 | 0 | HKD | 6158163 | GB0005405286 | HSBC HOLDINGS PLC | XHKG | EX:UAT TusharKant_Broker Code 2 | 
20161014-00029-00001 | 20161014-00029-00001 | 20161014-00029-00001 |  | 939 | buy | PT-JPM | 6.0 | 90000 | 0 | 0 | 0 | 0 | 2016/10/14 06:46:59.000 | 2016/10/14 06:46:59.000 | 0 | HKD | B0LMTQ3 | CNE1000002H1 | CHINA CONSTRUCTION BANK-H | XHKG | EX:UAT | 
20161014-00007-00001 | 20161014-00007-00001 | 20161014-00007-00001 |  | 5 | buy | SKY | 60.0 | 80000 | 0 | 0 | 0 | 0 | 2016/10/14 03:36:15.000 | 2016/10/14 03:36:15.000 | 0 | HKD | 6158163 | GB0005405286 | HSBC HOLDINGS PLC | XHKG | EX:UAT TK 4 | 
20161014-00045-00001 | 20161014-00045-00001 | 20161014-00045-00001 |  | 939 | buy | ALGO3KA | 6.0 | 40000 | 0 | 0 | 0 | 0 | 2016/10/14 07:57:33.000 | 2016/10/14 07:57:33.000 | 0 | HKD | B0LMTQ3 | CNE1000002H1 | CHINA CONSTRUCTION BANK-H | XHKG | EX:UAT | 
20161014-00032-00001 | 20161014-00032-00001 | 20161014-00032-00001 |  | 5 | buy | ALGO3KA | 62.0 | 20000 | 0 | 0 | 0 | 0 | 2016/10/14 07:01:07.000 | 2016/10/14 07:01:07.000 | 0 | HKD | 6158163 | GB0005405286 | HSBC HOLDINGS PLC | XHKG | EX:UAT | 
